time_sec,pwm,rpm
0.0000,60.0,1003.0
0.5000,60.9,1003.0
1.0000,61.9,1044.0
1.5000,62.8,1044.0
2.0000,63.8,1043.0
2.5000,64.7,1088.0
3.0000,65.6,1088.0
3.5000,66.5,1109.0
4.0000,67.5,1109.0
4.5000,68.4,1111.0
5.0000,69.3,1133.0
5.5000,70.2,1133.0
6.0000,71.0,1154.0
6.5000,71.9,1154.0
7.0000,72.8,1176.0
7.5000,73.6,1226.0
8.0000,74.5,1226.0
8.5000,75.3,1247.0
9.0000,76.1,1247.0
9.5000,76.9,1243.0
10.0000,77.6,1288.0
10.5000,78.4,1288.0
11.0000,79.1,1310.0
11.5000,79.8,1327.0
12.0000,80.5,1327.0
12.5000,81.2,1320.0
13.0000,81.9,1320.0
13.5000,82.5,1368.0
14.0000,83.1,1357.0
14.5000,83.7,1357.0
15.0000,84.3,1398.0
15.5000,84.8,1398.0
16.0000,85.3,1385.0
16.5000,85.8,1400.0
17.0000,86.3,1400.0
17.5000,86.7,1415.0
18.0000,87.1,1415.0
18.5000,87.5,1454.0
19.0000,87.9,1454.0
19.5000,88.2,1438.0
20.0000,88.5,1479.0
20.5000,88.8,1479.0
21.0000,89.1,1454.0
21.5000,89.3,1454.0
22.0000,89.5,1496.0
22.5000,89.6,1500.0
23.0000,89.8,1500.0
23.5000,89.9,1507.0
24.0000,89.9,1507.0
24.5000,90.0,1479.0
25.0000,90.0,1485.0
25.5000,90.0,1485.0
26.0000,89.9,1515.0
26.5000,89.9,1515.0
27.0000,89.8,1490.0
27.5000,89.6,1518.0
28.0000,89.5,1518.0
28.5000,89.3,1486.0
29.0000,89.1,1486.0
29.5000,88.8,1483.0
30.0000,88.5,1483.0
30.5000,88.2,1477.0
31.0000,87.9,1501.0
31.5000,87.5,1501.0
32.0000,87.1,1466.0
32.5000,86.7,1466.0
33.0000,86.3,1490.0
33.5000,85.8,1490.0
34.0000,85.3,1452.0
34.5000,84.8,1472.0
35.0000,84.3,1472.0
35.5000,83.7,1463.0
36.0000,83.1,1463.0
36.5000,82.5,1423.0
37.0000,81.9,1442.0
37.5000,81.2,1442.0
38.0000,80.5,1426.0
38.5000,79.8,1426.0
39.0000,79.1,1413.0
39.5000,78.4,1398.0
40.0000,77.6,1398.0
40.5000,76.9,1379.0
41.0000,76.1,1379.0
41.5000,75.3,1360.0
42.0000,74.5,1360.0
42.5000,73.6,1315.0
43.0000,72.8,1315.0
43.5000,71.9,1293.0
44.0000,71.0,1302.0
44.5000,70.2,1302.0
45.0000,69.3,1255.0
45.5000,68.4,1255.0
46.0000,67.5,1235.0
46.5000,66.5,1212.0
47.0000,65.6,1212.0
47.5000,64.7,1188.0
48.0000,63.8,1188.0
48.5000,62.8,1188.0
49.0000,61.9,1188.0
49.5000,60.9,1143.0
50.0000,60.0,1142.0
50.5000,59.1,1142.0
51.0000,58.1,1118.0
51.5000,57.2,1118.0
52.0000,56.2,1071.0
52.5000,55.3,1069.0
53.0000,54.4,1069.0
53.5000,53.5,1020.0
54.0000,52.5,1020.0
54.5000,51.6,1016.0
55.0000,50.7,1016.0
55.5000,49.8,991.0
56.0000,49.0,965.0
56.5000,48.1,965.0
57.0000,47.2,922.0
57.5000,46.4,922.0
58.0000,45.5,916.0
58.5000,44.7,916.0
59.0000,43.9,873.0
59.5000,43.1,867.0
60.0000,42.4,867.0
60.5000,41.6,845.0
61.0000,40.9,845.0
61.5000,40.2,823.0
62.0000,39.5,823.0
62.5000,38.8,780.0
63.0000,38.1,758.0
63.5000,37.5,758.0
64.0000,36.9,751.0
64.5000,36.3,751.0
65.0000,35.7,713.0
65.5000,35.2,713.0
66.0000,34.7,707.0
66.5000,34.2,673.0
67.0000,33.7,673.0
67.5000,33.3,670.0
68.0000,32.9,670.0
68.5000,32.5,651.0
69.0000,32.1,651.0
69.5000,31.8,622.0
70.0000,31.5,622.0
70.5000,31.2,622.0
71.0000,30.9,597.0
71.5000,30.7,597.0
72.0000,30.5,597.0
72.5000,30.4,597.0
73.0000,30.2,587.0
73.5000,30.1,587.0
74.0000,30.1,580.0
74.5000,30.0,560.0
75.0000,30.0,560.0
75.5000,30.0,554.0
76.0000,30.1,554.0
76.5000,30.1,551.0
77.0000,30.2,551.0
77.5000,30.4,549.0
78.0000,30.5,549.0
78.5000,30.7,563.0
79.0000,30.9,563.0
79.5000,31.2,554.0
80.0000,31.5,569.0
80.5000,31.8,569.0
81.0000,32.1,577.0
81.5000,32.5,577.0
82.0000,32.9,585.0
82.5000,33.3,585.0
83.0000,33.7,593.0
83.5000,34.2,593.0
84.0000,34.7,603.0
84.5000,35.2,603.0
85.0000,35.7,616.0
85.5000,36.3,629.0
86.0000,36.9,629.0
86.5000,37.5,646.0
87.0000,38.1,646.0
87.5000,38.8,665.0
88.0000,39.5,665.0
88.5000,40.2,683.0
89.0000,40.9,687.0
89.5000,41.6,687.0
90.0000,42.4,708.0
90.5000,43.1,708.0
91.0000,43.9,747.0
91.5000,44.7,747.0
92.0000,45.5,756.0
92.5000,46.4,756.0
93.0000,47.2,779.0
93.5000,48.1,821.0
94.0000,49.0,821.0
94.5000,49.8,829.0
95.0000,50.7,829.0
95.5000,51.6,854.0
96.0000,52.5,854.0
96.5000,53.5,897.0
97.0000,54.4,921.0
97.5000,55.3,921.0
98.0000,56.2,947.0
98.5000,57.2,947.0
99.0000,58.1,976.0
99.5000,59.1,976.0
100.0000,60.0,1000.0
100.5000,60.9,1010.0
101.0000,61.9,1010.0
101.5000,62.8,1035.0
102.0000,63.8,1035.0
102.5000,64.7,1084.0
103.0000,65.6,1084.0
103.5000,66.5,1084.0
104.0000,67.5,1084.0
104.5000,68.4,1110.0
105.0000,69.3,1161.0
105.5000,70.2,1161.0
106.0000,71.0,1184.0
106.5000,71.9,1184.0
107.0000,72.8,1182.0
107.5000,73.6,1232.0
108.0000,74.5,1232.0
108.5000,75.3,1228.0
109.0000,76.1,1228.0
109.5000,76.9,1273.0
110.0000,77.6,1268.0
110.5000,78.4,1268.0
111.0000,79.1,1287.0
111.5000,79.8,1287.0
112.0000,80.5,1307.0
112.5000,81.2,1307.0
113.0000,81.9,1357.0
113.5000,82.5,1345.0
114.0000,83.1,1345.0
114.5000,83.7,1390.0
115.0000,84.3,1390.0
115.5000,84.8,1408.0
116.0000,85.3,1423.0
116.5000,85.8,1423.0
117.0000,86.3,1406.0
117.5000,86.7,1406.0
118.0000,87.1,1423.0
118.5000,87.5,1423.0
119.0000,87.9,1465.0
119.5000,88.2,1474.0
120.0000,88.5,1474.0
120.5000,88.8,1454.0
121.0000,89.1,1454.0
121.5000,89.3,1461.0
122.0000,89.5,1468.0
122.5000,89.6,1468.0
123.0000,89.8,1476.0
123.5000,89.9,1476.0
124.0000,89.9,1509.0
124.5000,90.0,1515.0
125.0000,90.0,1515.0
125.5000,90.0,1488.0
126.0000,89.9,1488.0
126.5000,89.9,1488.0
127.0000,89.8,1488.0
127.5000,89.6,1522.0
128.0000,89.5,1522.0
128.5000,89.3,1488.0
129.0000,89.1,1517.0
129.5000,88.8,1517.0
130.0000,88.5,1515.0
130.5000,88.2,1515.0
131.0000,87.9,1476.0
131.5000,87.5,1472.0
132.0000,87.1,1472.0
132.5000,86.7,1496.0
133.0000,86.3,1459.0
133.5000,85.8,1459.0
134.0000,85.3,1449.0
134.5000,84.8,1449.0
135.0000,84.3,1442.0
135.5000,83.7,1442.0
136.0000,83.1,1431.0
136.5000,82.5,1418.0
137.0000,81.9,1418.0
137.5000,81.2,1437.0
138.0000,80.5,1437.0
138.5000,79.8,1423.0
139.0000,79.1,1410.0
139.5000,78.4,1410.0
140.0000,77.6,1366.0
140.5000,76.9,1366.0
141.0000,76.1,1345.0
141.5000,75.3,1355.0
142.0000,74.5,1355.0
142.5000,73.6,1340.0
143.0000,72.8,1340.0
143.5000,71.9,1317.0
144.0000,71.0,1272.0
144.5000,70.2,1272.0
145.0000,69.3,1283.0
145.5000,68.4,1283.0
146.0000,67.5,1259.0
146.5000,66.5,1237.0
147.0000,65.6,1237.0
147.5000,64.7,1214.0
148.0000,63.8,1214.0
148.5000,62.8,1166.0
149.0000,61.9,1166.0
149.5000,60.9,1141.0
150.0000,60.0,1138.0
150.5000,59.1,1138.0
