time_sec,pwm,rpm
0.5181,40.0,1104.0
1.0185,40.0,1104.0
1.5225,40.0,1035.0
2.0245,40.0,1035.0
2.5245,40.0,926.0
3.0406,40.0,926.0
3.5498,40.0,844.0
4.0675,40.0,802.0
4.5825,40.0,802.0
5.0949,40.0,775.0
5.5951,40.0,775.0
6.1169,40.0,774.0
6.6353,40.0,746.0
7.1484,40.0,746.0
7.6575,40.0,741.0
8.1616,40.0,741.0
8.6694,40.0,737.0
9.1825,40.0,737.0
9.6945,40.0,734.0
10.2116,60.0,732.0
10.7359,60.0,732.0
11.2488,60.0,825.0
11.7529,60.0,825.0
12.2692,60.0,917.0
12.7803,60.0,917.0
13.2964,60.0,973.0
13.8021,60.0,973.0
14.3265,60.0,1027.0
14.8342,60.0,1048.0
15.3425,60.0,1048.0
15.8505,60.0,1062.0
16.3757,60.0,1062.0
16.8843,60.0,1069.0
17.3916,60.0,1069.0
17.9165,60.0,1050.0
18.4206,60.0,1077.0
18.9296,60.0,1077.0
19.4571,60.0,1078.0
19.9647,60.0,1078.0
20.4849,40.0,1059.0
20.9937,40.0,1059.0
21.5044,40.0,1037.0
22.0110,40.0,1037.0
22.5203,40.0,904.0
23.0273,40.0,857.0
23.5515,40.0,857.0
24.0749,40.0,817.0
24.6013,40.0,817.0
25.1252,40.0,791.0
25.6451,40.0,791.0
26.1539,40.0,775.0
26.6645,40.0,764.0
27.1734,40.0,764.0
27.6986,40.0,743.0
28.2071,40.0,743.0
28.7158,40.0,739.0
29.2380,40.0,739.0
29.7626,40.0,737.0
