Time (samples) - Reference	Current (A) - Reference	Time (samples) - Measured	Current (A) - Measured	
0	-26.02	0	6.3	
1	-26.02	1	6.3	
2	-26.02	2	6.3	
3	-26.02	3	6.3	
4	-26.02	4	6.3	
5	-26.02	5	6.3	
6	-26.02	6	6.3	
7	-26.02	7	6.3	
8	-26.02	8	6.3	
9	-26.02	9	6.3	
10	-26.02	10	6.3	
11	-26.02	11	6.3	
12	-26.02	12	6.3	
13	-26.02	13	6.3	
14	-26.02	14	6.3	
15	-26.02	15	6.3	
16	-26.02	16	6.3	
17	-26.02	17	6.3	
18	-26.02	18	6.3	
19	-26.02	19	6.3	
20	-26.02	20	6.3	
21	-26.02	21	6.3	
22	-26.02	22	6.3	
23	-26.02	23	6.3	
24	-26.02	24	6.3	
25	-26.02	25	6.3	
26	-26.02	26	6.3	
27	-26.02	27	6.3	
28	-26.02	28	6.3	
29	-26.02	29	6.3	
30	-26.02	30	6.3	
31	-26.02	31	6.3	
32	-26.02	32	6.3	
33	-26.02	33	6.3	
34	-26.02	34	6.3	
35	-26.02	35	6.3	
36	-26.02	36	6.3	
37	-26.02	37	6.3	
38	-26.02	38	6.3	
39	-26.02	39	6.3	
40	-26.02	40	6.3	
41	-26.02	41	6.3	
42	-26.02	42	6.3	
43	-26.02	43	6.3	
44	-26.02	44	6.3	
45	-26.02	45	6.3	
46	-26.02	46	6.3	
47	-26.02	47	6.3	
48	-26.02	48	6.3	
49	-26.02	49	6.3	
50	-26.02	50	6.3	
51	-26.02	51	6.3	
52	-26.02	52	6.3	
53	-26.02	53	6.3	
54	-26.02	54	6.3	
55	-26.02	55	6.3	
56	-26.02	56	6.3	
57	-26.02	57	6.3	
58	-26.02	58	6.3	
59	-26.02	59	6.3	
60	-26.02	60	6.3	
61	-26.02	61	6.3	
62	-26.02	62	6.3	
63	-26.02	63	6.3	
64	-26.02	64	6.3	
65	-26.02	65	6.3	
66	-26.02	66	6.3	
67	-26.02	67	6.3	
68	-26.02	68	6.3	
69	-26.02	69	6.3	
70	-26.02	70	6.3	
71	-26.02	71	6.3	
72	-26.02	72	6.3	
73	-26.02	73	6.3	
74	-26.02	74	6.3	
75	-26.02	75	6.3	
76	-26.02	76	6.3	
77	-26.02	77	6.3	
78	-26.02	78	6.3	
79	-26.02	79	6.3	
80	-26.02	80	6.3	
81	-26.02	81	6.3	
82	-26.02	82	6.3	
83	-26.02	83	6.3	
84	-26.02	84	6.3	
85	-26.02	85	6.3	
86	-26.02	86	6.3	
87	-26.02	87	6.3	
88	-26.02	88	6.3	
89	-26.02	89	6.3	
90	-26.02	90	6.3	
91	-26.02	91	6.3	
92	-26.02	92	6.3	
93	-26.02	93	6.3	
94	-26.02	94	6.3	
95	-26.02	95	6.3	
96	-26.02	96	6.3	
97	-26.02	97	6.3	
98	-26.02	98	6.3	
99	-26.02	99	6.3	
100	-26.02	100	6.3	
101	-26.02	101	6.3	
102	-25.84	102	6.3	
103	-25.84	103	6.3	
104	-25.84	104	6.3	
105	-25.84	105	6.3	
106	-25.84	106	6.3	
107	-25.84	107	6.3	
108	-25.84	108	6.3	
109	-25.84	109	6.3	
110	-25.84	110	6.3	
111	-25.84	111	6.3	
112	-25.66	112	6.3	
113	-25.66	113	6.3	
114	-25.66	114	6.3	
115	-25.66	115	6.3	
116	-25.66	116	6.3	
117	-25.66	117	6.3	
