time_sec,pwm,rpm
0.5212,61.0,1054.0
1.0212,61.9,1054.0
1.5335,62.9,1060.0
2.0483,63.9,1056.0
2.5609,64.8,1056.0
3.0890,65.8,1099.0
3.6022,66.7,1099.0
4.1204,67.7,1099.0
4.6507,68.6,1122.0
5.1635,69.6,1122.0
5.6923,70.5,1170.0
6.2225,71.4,1166.0
6.7235,72.3,1166.0
7.2243,73.2,1188.0
7.7383,74.0,1188.0
8.2683,74.9,1212.0
8.7692,75.7,1264.0
9.2993,76.5,1264.0
9.7994,77.3,1282.0
10.3124,78.1,1282.0
10.8256,78.9,1305.0
11.3405,79.6,1325.0
11.8559,80.3,1325.0
12.3559,81.0,1348.0
12.8702,81.7,1348.0
13.3985,82.4,1336.0
13.9122,83.0,1382.0
14.4275,83.6,1382.0
14.9306,84.2,1400.0
15.4314,84.7,1400.0
15.9620,85.3,1385.0
16.4625,85.8,1385.0
16.9915,86.3,1433.0
17.5223,86.7,1413.0
18.0507,87.2,1413.0
18.5646,87.6,1458.0
19.0950,88.0,1458.0
19.6108,88.3,1437.0
20.1236,88.6,1447.0
20.6386,88.9,1447.0
21.1686,89.1,1458.0
21.6851,89.4,1458.0
22.2011,89.5,1492.0
22.7027,89.7,1470.0
23.2327,89.8,1470.0
23.7487,89.9,1474.0
24.2767,90.0,1474.0
24.7776,90.0,1479.0
25.3082,90.0,1479.0
25.8262,90.0,1485.0
26.3416,89.9,1515.0
26.8562,89.8,1515.0
27.3856,89.7,1483.0
27.9013,89.5,1483.0
28.4157,89.3,1513.0
28.9301,89.1,1513.0
29.4454,88.8,1513.0
29.9728,88.5,1509.0
30.4749,88.2,1509.0
30.9762,87.9,1474.0
31.4903,87.5,1474.0
32.0158,87.1,1498.0
32.5309,86.7,1463.0
33.0441,86.2,1463.0
33.5612,85.8,1483.0
34.0888,85.2,1483.0
34.5889,84.7,1477.0
35.1059,84.2,1433.0
35.6190,83.6,1433.0
36.1349,83.0,1421.0
36.6654,82.3,1421.0
37.1954,81.6,1413.0
37.7119,80.9,1428.0
38.2411,80.2,1428.0
38.7709,79.5,1415.0
39.2989,78.7,1415.0
39.8144,77.9,1369.0
40.3325,77.1,1349.0
40.8635,76.3,1349.0
41.3772,75.5,1362.0
41.9070,74.6,1362.0
42.4191,73.8,1318.0
42.9489,72.9,1298.0
43.4530,72.0,1298.0
43.9561,71.1,1280.0
44.4751,70.2,1280.0
44.9883,69.3,1283.0
45.4892,68.4,1283.0
46.0194,67.4,1235.0
46.5491,66.5,1210.0
47.0770,65.5,1210.0
47.5917,64.5,1213.0
48.1171,63.5,1213.0
48.6362,62.6,1165.0
49.1377,61.6,1140.0
49.6534,60.7,1140.0
50.1691,59.7,1138.0
50.6875,58.7,1138.0
51.2023,57.7,1116.0
51.7333,56.7,1090.0
52.2482,55.8,1090.0
52.7631,54.8,1043.0
53.2633,53.9,1043.0
53.7834,52.9,1040.0
54.2843,52.0,1040.0
54.7853,51.1,994.0
55.3145,50.2,985.0
55.8322,49.3,985.0
56.3508,48.3,959.0
56.8676,47.5,959.0
57.3709,46.6,936.0
57.8883,45.7,936.0
58.4174,44.9,909.0
58.9483,44.0,879.0
59.4645,43.2,879.0
59.9803,42.4,840.0
60.4854,41.6,840.0
61.0124,40.9,832.0
61.5309,40.1,832.0
62.0576,39.4,792.0
62.5709,38.7,783.0
63.1005,38.0,783.0
63.6210,37.3,759.0
64.1485,36.7,759.0
64.6628,36.1,737.0
65.1794,35.5,737.0
65.6935,35.0,715.0
66.2246,34.4,693.0
66.7506,33.9,693.0
67.2656,33.5,658.0
67.7815,33.0,658.0
68.2976,32.6,642.0
68.8266,32.2,642.0
69.3547,31.9,625.0
69.8712,31.5,612.0
70.4006,31.2,612.0
70.9206,31.0,599.0
71.4501,30.7,599.0
71.9642,30.5,586.0
72.4930,30.4,586.0
72.9956,30.2,576.0
73.5252,30.1,567.0
74.0252,30.1,567.0
74.5437,30.0,558.0
75.0607,30.0,558.0
75.5761,30.0,552.0
76.1067,30.1,552.0
76.6376,30.2,559.0
77.1678,30.3,559.0
77.6686,30.4,547.0
78.1998,30.6,560.0
78.7288,30.8,560.0
79.2290,31.1,552.0
79.7598,31.3,552.0
80.2738,31.6,569.0
80.7868,32.0,569.0
81.3039,32.3,575.0
81.8343,32.7,575.0
82.3500,33.1,570.0
82.8779,33.6,593.0
83.4073,34.1,593.0
83.9260,34.6,604.0
84.4389,35.1,604.0
84.9569,35.7,604.0
85.4724,36.3,604.0
85.9841,36.9,619.0
86.5135,37.5,619.0
87.0294,38.2,637.0
87.5485,38.9,656.0
88.0651,39.6,656.0
88.5815,40.3,689.0
89.0820,41.0,689.0
89.6102,41.8,708.0
90.1272,42.6,708.0
90.6390,43.4,715.0
91.1421,44.2,715.0
91.6576,45.0,754.0
92.1756,45.8,776.0
92.6906,46.7,776.0
93.1924,47.6,783.0
93.6936,48.4,783.0
94.2062,49.3,828.0
94.7091,50.2,828.0
95.2256,51.1,855.0
95.7417,52.1,865.0
96.2556,53.0,865.0
96.7713,54.0,889.0
97.3017,54.9,889.0
97.8314,55.9,914.0
98.3617,56.9,914.0
98.8647,57.9,942.0
99.3647,58.8,968.0
99.8660,59.7,968.0
100.3676,60.7,1016.0
100.8827,61.7,1016.0
101.3968,62.6,1020.0
101.9251,63.6,1020.0
102.4553,64.6,1068.0
102.9708,65.6,1073.0
103.4879,66.5,1073.0
104.0025,67.5,1121.0
104.5181,68.4,1121.0
105.0472,69.4,1123.0
105.5648,70.3,1170.0
106.0943,71.2,1170.0
106.5961,72.1,1195.0
107.1259,73.0,1195.0
107.6261,73.8,1195.0
108.1417,74.7,1219.0
108.6709,75.5,1219.0
109.1999,76.4,1269.0
109.7136,77.2,1269.0
110.2152,78.0,1265.0
110.7426,78.7,1265.0
111.2428,79.5,1311.0
111.7445,80.2,1334.0
112.2450,80.9,1334.0
112.7563,81.6,1354.0
113.2697,82.2,1354.0
113.8001,82.9,1372.0
114.3163,83.5,1362.0
114.8163,84.1,1362.0
115.3467,84.6,1403.0
115.8640,85.2,1403.0
116.3778,85.7,1421.0
116.8931,86.2,1403.0
117.4074,86.7,1403.0
117.9225,87.1,1416.0
118.4532,87.5,1416.0
118.9711,87.9,1459.0
119.4721,88.2,1459.0
119.9877,88.5,1440.0
120.4892,88.8,1481.0
121.0197,89.1,1481.0
121.5352,89.3,1458.0
122.0520,89.5,1458.0
122.5827,89.7,1500.0
123.1125,89.8,1474.0
123.6420,89.9,1474.0
124.1714,90.0,1505.0
124.7013,90.0,1505.0
125.2297,90.0,1481.0
125.7576,90.0,1481.0
126.2725,89.9,1481.0
126.7864,89.8,1481.0
127.3153,89.7,1481.0
127.8438,89.5,1517.0
128.3588,89.3,1513.0
128.8731,89.1,1513.0
129.3873,88.9,1479.0
129.9148,88.6,1479.0
130.4154,88.3,1477.0
130.9304,87.9,1501.0
131.4444,87.6,1501.0
131.9742,87.2,1470.0
132.4779,86.7,1470.0
133.0087,86.3,1490.0
133.5387,85.8,1490.0
134.0552,85.3,1452.0
134.5844,84.7,1440.0
135.1154,84.1,1440.0
135.6174,83.6,1431.0
136.1350,83.0,1431.0
136.6642,82.3,1420.0
137.1937,81.6,1437.0
137.7084,80.9,1437.0
138.2217,80.2,1423.0
