time_sec,pwm,rpm
0.5211,40.0,729.0
1.0276,40.0,729.0
1.5347,40.0,730.0
2.0408,40.0,730.0
2.5499,40.0,729.0
3.0584,40.0,729.0
3.5824,40.0,729.0
4.1061,40.0,746.0
4.6140,40.0,746.0
5.1226,40.0,745.0
5.6464,40.0,745.0
6.1689,40.0,729.0
6.6766,40.0,730.0
7.1869,40.0,730.0
7.6959,40.0,746.0
8.2032,40.0,746.0
8.7271,40.0,745.0
9.2497,40.0,745.0
9.7732,40.0,732.0
10.2970,40.0,732.0
10.8037,40.0,746.0
11.3110,40.0,746.0
11.8185,40.0,746.0
12.3257,40.0,748.0
12.8325,40.0,748.0
13.3557,40.0,748.0
13.8649,40.0,748.0
14.3728,40.0,733.0
14.8965,40.0,748.0
15.4035,40.0,748.0
15.9134,40.0,733.0
16.4381,40.0,733.0
16.9627,40.0,749.0
17.4709,40.0,749.0
17.9952,40.0,734.0
18.5034,40.0,734.0
19.0276,40.0,733.0
19.5521,40.0,733.0
20.0757,60.0,748.0
20.5831,60.0,759.0
21.0910,60.0,759.0
21.5984,60.0,904.0
22.1070,60.0,904.0
22.6310,60.0,955.0
23.1543,60.0,955.0
23.6626,60.0,1022.0
24.1703,60.0,1022.0
24.6793,60.0,1049.0
25.2034,60.0,1043.0
25.7107,60.0,1043.0
26.2188,60.0,1075.0
26.7440,60.0,1075.0
27.2684,60.0,1080.0
27.7748,60.0,1080.0
28.2982,60.0,1061.0
28.8062,60.0,1061.0
29.3293,60.0,1064.0
29.8528,60.0,1088.0
30.3603,60.0,1088.0
30.8850,60.0,1088.0
31.3942,60.0,1088.0
31.9027,60.0,1090.0
32.4120,60.0,1090.0
32.9356,60.0,1092.0
33.4593,60.0,1092.0
33.9848,60.0,1070.0
34.5092,60.0,1072.0
35.0186,60.0,1072.0
35.5421,60.0,1072.0
36.0647,60.0,1072.0
36.5722,60.0,1074.0
37.0799,60.0,1074.0
37.6039,60.0,1072.0
38.1125,60.0,1072.0
38.6219,60.0,1096.0
39.1460,60.0,1075.0
39.6542,60.0,1075.0
40.1781,40.0,1097.0
40.6862,40.0,1097.0
41.2107,40.0,997.0
41.7333,40.0,997.0
42.2412,40.0,898.0
42.7650,40.0,898.0
43.2868,40.0,837.0
43.7934,40.0,837.0
44.3174,40.0,800.0
44.8251,40.0,792.0
45.3487,40.0,792.0
45.8564,40.0,779.0
46.3638,40.0,779.0
46.8718,40.0,770.0
47.3789,40.0,770.0
47.9027,40.0,765.0
48.4106,40.0,765.0
48.9194,40.0,760.0
49.4436,40.0,760.0
49.9506,40.0,759.0
50.4733,40.0,741.0
50.9812,40.0,741.0
51.5042,40.0,740.0
52.0125,40.0,740.0
52.5368,40.0,739.0
53.0451,40.0,739.0
53.5684,40.0,754.0
54.0763,40.0,754.0
54.5849,40.0,754.0
55.1072,40.0,754.0
55.6320,40.0,739.0
56.1397,40.0,739.0
56.6636,40.0,739.0
57.1857,40.0,754.0
57.6932,40.0,754.0
58.2160,40.0,754.0
58.7233,40.0,754.0
